"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",109340305,109340539,235,"*","Intron (ENST00000538502.5/6272, intron 10 of 19)",1,109326806,109336302,9497,2,"6272","ENST00000466471.1",-4003,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109341974,109342384,411,"*","Exon (ENST00000538502.5/6272, exon 9 of 20)",1,109326806,109336302,9497,2,"6272","ENST00000466471.1",-5672,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109342653,109342859,207,"*","Intron (ENST00000538502.5/6272, intron 8 of 19)",1,109326806,109336302,9497,2,"6272","ENST00000466471.1",-6351,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109343070,109343295,226,"*","Intron (ENST00000538502.5/6272, intron 8 of 19)",1,109326806,109336302,9497,2,"6272","ENST00000466471.1",-6768,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109345353,109345673,321,"*","Intron (ENST00000538502.5/6272, intron 8 of 19)",1,109326806,109336302,9497,2,"6272","ENST00000466471.1",-9051,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109349600,109349800,201,"*","Intron (ENST00000538502.5/6272, intron 6 of 19)",1,109326806,109336302,9497,2,"6272","ENST00000466471.1",-13298,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109352828,109353134,307,"*","Intron (ENST00000538502.5/6272, intron 5 of 19)",1,109366783,109369589,2807,2,"6272","ENST00000483508.5",16455,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109355840,109356062,223,"*","Intron (ENST00000538502.5/6272, intron 3 of 19)",1,109366783,109369589,2807,2,"6272","ENST00000483508.5",13527,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109357751,109358077,327,"*","Intron (ENST00000538502.5/6272, intron 3 of 19)",1,109366783,109369589,2807,2,"6272","ENST00000483508.5",11512,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109360601,109360855,255,"*","Intron (ENST00000538502.5/6272, intron 3 of 19)",1,109366783,109369589,2807,2,"6272","ENST00000483508.5",8734,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109360956,109361486,531,"*","Intron (ENST00000538502.5/6272, intron 3 of 19)",1,109366783,109369589,2807,2,"6272","ENST00000483508.5",8103,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109365686,109366047,362,"*","Intron (ENST00000538502.5/6272, intron 3 of 19)",1,109366783,109369589,2807,2,"6272","ENST00000483508.5",3542,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109369160,109369501,342,"*","Promoter (<=1kb)",1,109366783,109369589,2807,2,"6272","ENST00000483508.5",88,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109370677,109371841,1165,"*","Promoter (1-2kb)",1,109368478,109369589,1112,2,"6272","ENST00000495777.5",-1088,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109373111,109373384,274,"*","Intron (ENST00000538502.5/6272, intron 1 of 19)",1,109368478,109369589,1112,2,"6272","ENST00000495777.5",-3522,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109381664,109381901,238,"*","Intron (ENST00000538502.5/6272, intron 1 of 19)",1,109350947,109389899,38953,2,"6272","ENST00000493736.5",7998,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109383134,109383432,299,"*","Intron (ENST00000538502.5/6272, intron 1 of 19)",1,109350947,109389899,38953,2,"6272","ENST00000493736.5",6467,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109385541,109385804,264,"*","Intron (ENST00000538502.5/6272, intron 1 of 19)",1,109350947,109389899,38953,2,"6272","ENST00000493736.5",4095,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109389770,109390076,307,"*","Promoter (<=1kb)",1,109350947,109389899,38953,2,"6272","ENST00000493736.5",0,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109390669,109390878,210,"*","Promoter (<=1kb)",1,109350947,109389899,38953,2,"6272","ENST00000493736.5",-770,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109391235,109391489,255,"*","Promoter (1-2kb)",1,109350947,109389899,38953,2,"6272","ENST00000493736.5",-1336,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109392156,109392356,201,"*","Promoter (<=1kb)",1,109355441,109392988,37548,2,"6272","ENST00000633956.1",632,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109392842,109393536,695,"*","Promoter (<=1kb)",1,109355441,109392988,37548,2,"6272","ENST00000633956.1",0,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109396204,109396514,311,"*","Promoter (1-2kb)",1,109369530,109397861,28332,2,"6272","ENST00000471996.1",1347,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109397357,109398371,1015,"*","Promoter (<=1kb)",1,109369530,109397861,28332,2,"6272","ENST00000471996.1",0,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109399376,109399699,324,"*","Promoter (1-2kb)",1,109309575,109397918,88344,2,"6272","ENST00000256637.8",-1458,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109404739,109405088,350,"*","Intron (ENST00000271308.9/5686, intron 8 of 8)",1,109309575,109397918,88344,2,"6272","ENST00000256637.8",-6821,"ENSG00000134243","SORT1","sortilin 1"
"chr10",112945766,112946089,324,"*","Intron (ENST00000428766.3/107984158, intron 6 of 7)",10,112950247,113167678,217432,1,"6934","ENST00000355995.9",-4158,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",112949203,112949436,234,"*","Promoter (<=1kb)",10,112950247,113167678,217432,1,"6934","ENST00000355995.9",-811,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",112949532,112950507,976,"*","Promoter (<=1kb)",10,112950247,113167678,217432,1,"6934","ENST00000355995.9",0,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113042337,113043121,785,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-82415,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113044731,113045016,286,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-80520,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113045208,113045633,426,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-79903,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113045727,113045998,272,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-79538,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113047741,113048318,578,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-77218,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113049759,113050243,485,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-75293,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113051284,113051488,205,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-74048,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113052193,113052780,588,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-72756,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113053849,113054207,359,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-71329,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113056780,113057025,246,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-68511,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113058694,113058985,292,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-66551,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113059379,113059698,320,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-65838,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113060181,113060993,813,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-64543,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113061068,113061296,229,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-64240,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113066010,113066536,527,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-59000,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113067586,113067834,249,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-57702,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113071460,113071885,426,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-53651,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113073556,113074285,730,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-51251,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113080860,113081143,284,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-44393,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113087137,113087959,823,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-37577,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113092821,113093448,628,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-32088,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113093495,113094600,1106,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-30936,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113096546,113097078,533,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-28458,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113099374,113100140,767,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-25396,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113106864,113107439,576,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-18097,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113111918,113112960,1043,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-12576,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113113156,113113607,452,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-11929,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113113970,113114281,312,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-11255,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113117711,113117946,236,"*","Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-7590,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113122939,113123435,497,"*","Promoter (2-3kb)",10,113125536,113165648,40113,1,"6934","ENST00000349937.8",-2101,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113126371,113127041,671,"*","Promoter (<=1kb)",10,113126690,113165612,38923,1,"6934","ENST00000369389.7",0,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113129029,113129306,278,"*","Promoter (<=1kb)",10,113129206,113151057,21852,1,"6934","ENST00000636447.1",0,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113131327,113132234,908,"*","Promoter (<=1kb)",10,113132022,113151758,19737,1,"6934","ENST00000636309.1",0,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113132650,113133000,351,"*","Promoter (<=1kb)",10,113132896,113146094,13199,1,"6934","ENST00000636585.1",0,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113135098,113135298,201,"*","Promoter (2-3kb)",10,113132948,113165656,32709,1,"6934","ENST00000704421.1",2150,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113139037,113139277,241,"*","Promoter (1-2kb)",10,113141220,113165622,24403,1,"6934","ENST00000704422.1",-1943,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113141091,113141587,497,"*","Promoter (<=1kb)",10,113141220,113165622,24403,1,"6934","ENST00000704422.1",0,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113142591,113142833,243,"*","Promoter (1-2kb)",10,113141220,113165622,24403,1,"6934","ENST00000704422.1",1371,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113151184,113152018,835,"*","Promoter (<=1kb)",10,113151831,113165940,14110,1,"6934","ENST00000470254.1",0,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113153417,113154243,827,"*","Promoter (1-2kb)",10,113152414,113165961,13548,1,"6934","ENST00000480888.1",1003,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113157884,113158102,219,"*","Promoter (<=1kb)",10,113157773,113165587,7815,1,"6934","ENST00000471569.1",111,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113158302,113158546,245,"*","Promoter (<=1kb)",10,113157773,113165587,7815,1,"6934","ENST00000471569.1",529,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113163566,113164138,573,"*","Promoter (2-3kb)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",2335,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113165322,113165565,244,"*","3' UTR",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",4091,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113165609,113165858,250,"*","3' UTR",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",4378,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113168377,113168930,554,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",7146,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113168989,113169189,201,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",7758,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113169231,113169599,369,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",8000,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113169667,113170499,833,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",8436,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113171809,113172142,334,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",10578,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113176721,113177143,423,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",15490,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113179119,113179705,587,"*","Intron (ENST00000849450.1/ENST00000849450.1, intron 3 of 3)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",17888,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113180536,113180805,270,"*","Intron (ENST00000849450.1/ENST00000849450.1, intron 3 of 3)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",19305,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113181665,113181893,229,"*","Intron (ENST00000849450.1/ENST00000849450.1, intron 3 of 3)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",20434,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113182331,113182542,212,"*","Intron (ENST00000849450.1/ENST00000849450.1, intron 3 of 3)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",21100,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113183653,113183867,215,"*","Intron (ENST00000849450.1/ENST00000849450.1, intron 3 of 3)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",22422,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113187137,113187419,283,"*","Intron (ENST00000849450.1/ENST00000849450.1, intron 3 of 3)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",25906,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113201112,113201443,332,"*","Intron (ENST00000849450.1/ENST00000849450.1, intron 3 of 3)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",39881,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113223817,113224111,295,"*","Intron (ENST00000732732.1/ENST00000732732.1, intron 2 of 2)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",62586,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113233004,113233459,456,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",71773,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113235548,113235954,407,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",74317,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113239556,113239900,345,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",78325,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113240765,113241161,397,"*","Distal Intergenic",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",79534,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113265064,113265270,207,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",103833,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113267618,113268489,872,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",106387,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113272588,113272850,263,"*","Exon (ENST00000818346.1/ENST00000818346.1, exon 1 of 2)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",111357,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113273129,113274063,935,"*","Exon (ENST00000818346.1/ENST00000818346.1, exon 1 of 2)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",111898,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113274297,113274517,221,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",113066,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113280433,113280633,201,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",119202,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113281039,113281295,257,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",119808,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113283253,113283575,323,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",122022,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113292021,113292470,450,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",130790,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113292809,113293359,551,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",131578,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113294938,113295248,311,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",133707,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113300492,113301054,563,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",139261,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113303821,113304089,269,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",142590,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113310273,113310817,545,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",149042,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113313155,113313575,421,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",151924,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113315021,113315306,286,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",153790,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113317571,113317808,238,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",156340,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113320280,113320493,214,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",159049,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113320982,113321372,391,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",159751,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113321725,113322048,324,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",160494,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113322832,113323254,423,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",161601,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr10",113326166,113326486,321,"*","Intron (ENST00000818152.1/ENST00000818152.1, intron 1 of 1)",10,113161231,113165681,4451,1,"6934","ENST00000494353.1",164935,"ENSG00000148737","TCF7L2","transcription factor 7 like 2"
"chr16",53714515,53714834,320,"*","Intron (ENST00000636491.1/79068, intron 2 of 9)",16,53704182,54112087,407906,1,"79068","ENST00000464071.1",10333,"ENSG00000140718","FTO","FTO alpha-ketoglutarate dependent dioxygenase"
"chr16",53726716,53726929,214,"*","Intron (ENST00000636491.1/79068, intron 2 of 9)",16,53704182,54112087,407906,1,"79068","ENST00000464071.1",22534,"ENSG00000140718","FTO","FTO alpha-ketoglutarate dependent dioxygenase"
"chr16",53732342,53732938,597,"*","Intron (ENST00000636491.1/79068, intron 2 of 9)",16,53704182,54112087,407906,1,"79068","ENST00000464071.1",28160,"ENSG00000140718","FTO","FTO alpha-ketoglutarate dependent dioxygenase"
